Date : 2024-08-19 20:21:03
Directory : f:\毕设-快递系统
Total : 68 files,  18230 codes, 32 comments, 320 blanks, all 18582 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\毕设-快递系统\public\next.svg                               | XML                |          1 |          0 |          0 |          1 |
| f:\毕设-快递系统\public\vercel.svg                             | XML                |          1 |          0 |          0 |          1 |
| f:\毕设-快递系统\src\app\api\index.ts                          | TypeScript         |         37 |          0 |          5 |         42 |
| f:\毕设-快递系统\src\app\api\token.ts                          | TypeScript         |         25 |          0 |          3 |         28 |
| f:\毕设-快递系统\src\app\api\types.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| f:\毕设-快递系统\src\app\dashboard\control\page.tsx            | TypeScript JSX     |         43 |          0 |          2 |         45 |
| f:\毕设-快递系统\src\app\dashboard\layout.tsx                  | TypeScript JSX     |         28 |          0 |          4 |         32 |
| f:\毕设-快递系统\src\app\dashboard\links\page.tsx              | TypeScript JSX     |          9 |          0 |          3 |         12 |
| f:\毕设-快递系统\src\app\dashboard\me\page.tsx                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| f:\毕设-快递系统\src\app\dashboard\order\[slug]\page.tsx       | TypeScript JSX     |         40 |          5 |          8 |         53 |
| f:\毕设-快递系统\src\app\dashboard\order\page.module.css       | CSS                |         20 |          0 |          2 |         22 |
| f:\毕设-快递系统\src\app\dashboard\order\page.tsx              | TypeScript JSX     |         17 |          0 |          3 |         20 |
| f:\毕设-快递系统\src\app\dashboard\page.tsx                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| f:\毕设-快递系统\src\app\fonts.ts                              | TypeScript         |         13 |          0 |          4 |         17 |
| f:\毕设-快递系统\src\app\globals.css                           | CSS                |         56 |          0 |         21 |         77 |
| f:\毕设-快递系统\src\app\layout.tsx                            | TypeScript JSX     |         40 |          1 |          6 |         47 |
| f:\毕设-快递系统\src\app\login\page.tsx                        | TypeScript JSX     |          9 |          0 |          3 |         12 |
| f:\毕设-快递系统\src\app\page.tsx                              | TypeScript JSX     |         10 |          0 |          1 |         11 |
| f:\毕设-快递系统\src\app\provider\ReactQueryProvider.tsx       | TypeScript JSX     |          9 |          0 |          5 |         14 |
| f:\毕设-快递系统\src\app\register\page.tsx                     | TypeScript JSX     |          9 |          0 |          2 |         11 |
| f:\毕设-快递系统\src\app\seekback\page.tsx                     | TypeScript JSX     |          9 |          0 |          2 |         11 |
| f:\毕设-快递系统\src\components\client\AddCompany.tsx          | TypeScript JSX     |        204 |          0 |          2 |        206 |
| f:\毕设-快递系统\src\components\client\AddStation.tsx          | TypeScript JSX     |        205 |          0 |          3 |        208 |
| f:\毕设-快递系统\src\components\client\AfterSale.tsx           | TypeScript JSX     |         30 |          0 |          4 |         34 |
| f:\毕设-快递系统\src\components\client\AllOrders.tsx           | TypeScript JSX     |         30 |          0 |          4 |         34 |
| f:\毕设-快递系统\src\components\client\ArticleDelete.tsx       | TypeScript JSX     |         47 |          1 |          1 |         49 |
| f:\毕设-快递系统\src\components\client\ControlButton.tsx       | TypeScript JSX     |         67 |          0 |          4 |         71 |
| f:\毕设-快递系统\src\components\client\EditUserInfoButton.tsx  | TypeScript JSX     |        216 |          0 |          6 |        222 |
| f:\毕设-快递系统\src\components\client\FriendLink.tsx          | TypeScript JSX     |         54 |          0 |          3 |         57 |
| f:\毕设-快递系统\src\components\client\FriendLink\LinkCard.tsx | TypeScript JSX     |         40 |          0 |          5 |         45 |
| f:\毕设-快递系统\src\components\client\IndexCard.tsx           | TypeScript JSX     |         94 |          0 |          2 |         96 |
| f:\毕设-快递系统\src\components\client\LoginForm.tsx           | TypeScript JSX     |        176 |          1 |          2 |        179 |
| f:\毕设-快递系统\src\components\client\Menu\DarkMode.tsx       | TypeScript JSX     |         65 |          0 |          3 |         68 |
| f:\毕设-快递系统\src\components\client\Menu\NavOpen.tsx        | TypeScript JSX     |         55 |          0 |          3 |         58 |
| f:\毕设-快递系统\src\components\client\OperationPanel.tsx      | TypeScript JSX     |         88 |          0 |          2 |         90 |
| f:\毕设-快递系统\src\components\client\ProfileCard.tsx         | TypeScript JSX     |        208 |         10 |          8 |        226 |
| f:\毕设-快递系统\src\components\client\RegisterForm.tsx        | TypeScript JSX     |        359 |          3 |          9 |        371 |
| f:\毕设-快递系统\src\components\client\RenderComponent.tsx     | TypeScript JSX     |         21 |          0 |          2 |         23 |
| f:\毕设-快递系统\src\components\client\SeekBackForm.tsx        | TypeScript JSX     |        317 |          2 |          8 |        327 |
| f:\毕设-快递系统\src\components\client\SendOrders.tsx          | TypeScript JSX     |        284 |          6 |          8 |        298 |
| f:\毕设-快递系统\src\components\client\ToMarkdown.tsx          | TypeScript JSX     |         20 |          0 |          2 |         22 |
| f:\毕设-快递系统\src\components\client\menu.tsx                | TypeScript JSX     |        174 |          0 |          5 |        179 |
| f:\毕设-快递系统\src\components\client\scroller.module.css     | CSS                |         11 |          0 |          0 |         11 |
| f:\毕设-快递系统\src\components\motion\Loading.tsx             | TypeScript JSX     |         64 |          0 |         13 |         77 |
| f:\毕设-快递系统\src\components\motion\styles.module.css       | CSS                |         54 |          0 |         10 |         64 |
| f:\毕设-快递系统\src\components\ui\alert.tsx                   | TypeScript JSX     |         53 |          0 |          7 |         60 |
| f:\毕设-快递系统\src\components\ui\avatar.tsx                  | TypeScript JSX     |         44 |          0 |          7 |         51 |
| f:\毕设-快递系统\src\components\ui\button.tsx                  | TypeScript JSX     |         52 |          0 |          7 |         59 |
| f:\毕设-快递系统\src\components\ui\card.tsx                    | TypeScript JSX     |         82 |          0 |          9 |         91 |
| f:\毕设-快递系统\src\components\ui\input.tsx                   | TypeScript JSX     |         21 |          0 |          5 |         26 |
| f:\毕设-快递系统\src\components\ui\menubar.tsx                 | TypeScript JSX     |        217 |          0 |         20 |        237 |
| f:\毕设-快递系统\src\components\ui\navigation-menu.tsx         | TypeScript JSX     |        115 |          0 |         12 |        127 |
| f:\毕设-快递系统\src\components\ui\select.tsx                  | TypeScript JSX     |        146 |          0 |         15 |        161 |
| f:\毕设-快递系统\src\components\ui\sonner.tsx                  | TypeScript JSX     |         26 |          0 |          6 |         32 |
| f:\毕设-快递系统\src\components\ui\textarea.tsx                | TypeScript JSX     |         20 |          0 |          5 |         25 |
| f:\毕设-快递系统\src\config\index.ts                           | TypeScript         |          9 |          0 |          1 |         10 |
| f:\毕设-快递系统\src\constants\notifications.ts                | TypeScript         |         17 |          0 |          5 |         22 |
| f:\毕设-快递系统\src\lib\utils.ts                              | TypeScript         |          5 |          0 |          2 |          7 |
| f:\毕设-快递系统\src\utils\jd.ts                               | TypeScript         |         18 |          0 |          2 |         20 |
| f:\毕设-快递系统\tailwind.config.ts                            | TypeScript         |         88 |          1 |          4 |         93 |
| f:\毕设-快递系统\tsconfig.json                                 | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                    |                    |     18,230 |         32 |        320 |     18,582 |
+----------------------------------------------------------+--------------------+------------+------------+------------+------------+
